route_short_name,n_paradas,crimes_medio,crimes_max,crimes_total,pct_sem_crime,price,crimes_dia_max,crimes_dia_min,crimes_dia_std,crimes_hora_max,crimes_hora_min,crimes_hora_std,nivel_perigo_score,cluster,perfil_risco,route_id,indicador_ar_condicionado,duracao_viagem,ano_fabricacao,crimes_pico_manha,crimes_pico_tarde,crimes_noturnos,crimes_fim_semana
852,188,0.85,6.0,468.0,83.88,5.0,38,6,11.437199124327766,35,0,9.423605882361962,1.89,1,Baixo Risco,O0852AAA0A,1.0,58.23,2014.84,22,40,17,47
853,169,2.45,29.0,1472.0,59.67,5.0,116,30,29.268055070657628,77,0,16.266296176583893,6.57,1,Baixo Risco,O0853AAA0A,1.0,80.12,2014.47,27,108,110,100
854,164,0.57,6.0,198.0,93.33,5.0,34,2,11.056133828698675,41,0,9.281429175306561,1.74,1,Baixo Risco,O0854AAAAA,1.0,56.75,2016.12,18,14,30,50
855,223,1.58,13.0,1159.0,67.35,5.0,101,37,26.686004892880785,98,3,20.380439613526,7.74,1,Baixo Risco,O0855AAA0A,1.0,92.51,2015.0,73,77,90,80
856,117,0.83,6.0,829.0,83.8,5.0,36,1,11.936339073442513,36,0,9.221509197742957,2.89,1,Baixo Risco,O0856AAA0A,1.0,54.86,2014.89,12,21,11,42
857,166,0.65,6.0,681.0,88.65,5.0,40,2,12.204604907672389,47,0,11.2623523169072,3.07,1,Baixo Risco,O0857AAA0A,1.0,67.46,2014.91,14,19,12,46
859,10,17.37,26.0,330.0,15.79,5.0,40,8,10.70602856427385,20,0,6.739323279148253,1.47,0,Médio Risco,O0859AAA0A,0.0,13.87,2010.0,14,38,35,38
861,127,6.12,79.0,5688.0,36.77,5.0,151,50,32.03049142539622,71,9,18.82831470903885,19.55,2,Alto Risco,O0861AAA0A,0.055999999999999994,58.87,2010.06,46,164,231,268
862,82,2.95,12.0,242.0,57.32,5.0,80,10,25.650582468091848,28,0,9.536732950141722,1.75,1,Baixo Risco,O0862AAA0A,0.05,29.45,2010.05,6,82,72,73
863,146,4.82,35.0,965.0,42.0,5.0,139,63,25.708994164540567,57,0,17.166649078364426,5.68,0,Médio Risco,O0863AAA0A,0.14,32.13,2010.44,20,178,190,211
864,108,1.96,13.0,332.0,68.64,5.0,63,14,15.836967001592312,24,1,7.030858483463649,1.81,1,Baixo Risco,O0864AAA0A,0.963,31.71,2014.8,61,54,68,48
865,39,2.79,12.0,109.0,61.54,5.0,24,0,10.212037714663722,12,0,4.5202843953110685,0.56,1,Baixo Risco,O0865AAA0A,0.0,19.52,2011.0,1,16,32,43
866,185,0.89,6.0,164.0,82.7,5.0,38,6,11.296860077873303,35,0,9.485305187117259,1.16,1,Baixo Risco,O0866AAA0A,1.0,61.56,2014.83,24,40,17,49
867,176,0.56,6.0,764.0,93.39,5.0,32,4,10.515294982615968,32,0,7.601368107219206,2.84,1,Baixo Risco,O0867AAA0A,1.0,73.38,2014.74,16,26,29,51
868,69,0.94,5.0,123.0,76.34,5.0,18,0,7.702813338860895,14,0,3.821184276551226,0.5,1,Baixo Risco,O0868AAA0A,0.069,31.6,2010.59,2,10,28,16
869,49,0.59,5.0,47.0,91.14,5.0,13,0,4.4986770542121866,11,0,3.2679271451620457,0.27,1,Baixo Risco,O0869AAA0A,0.0,16.93,2010.5,0,5,11,10
870,91,1.16,5.0,179.0,69.48,5.0,35,8,9.651054716602593,33,0,8.70188635222022,1.83,1,Baixo Risco,O0870AAA0A,0.028999999999999998,37.77,2011.54,26,42,16,21
871,126,0.69,4.0,337.0,77.21,5.0,30,0,11.334733807028309,22,0,5.978069825669462,1.46,1,Baixo Risco,O0871AAA0A,1.0,48.52,2015.04,3,36,34,30
872,133,0.77,4.0,438.0,81.44,5.0,28,0,9.93071234197465,25,0,7.137876110042739,1.71,1,Baixo Risco,O0872AAA0A,1.0,40.45,2014.42,32,26,3,34
878,134,5.38,22.0,3910.0,33.84,5.0,157,44,37.15219662800188,71,3,18.204753320994516,15.25,0,Médio Risco,O0878AAA0A,0.083,66.87,2011.01,46,211,207,203
880,88,6.46,35.0,3465.0,30.6,5.0,131,24,32.3713571217637,47,0,14.899117277616615,12.35,0,Médio Risco,O0880AAA0A,0.10300000000000001,27.4,2010.29,15,126,163,197
881,130,2.32,9.0,1393.0,56.91,5.0,68,8,22.507141723715797,25,0,10.08514476482793,3.59,1,Baixo Risco,O0881AAA0A,0.0,79.75,2010.0,2,54,90,62
883,207,1.29,13.0,1125.0,75.0,5.0,91,14,28.750155279083774,75,2,16.447490007178356,4.36,1,Baixo Risco,O0883AAA0A,1.0,78.08,2014.21,69,48,73,54
884,152,0.69,6.0,752.0,88.8,5.0,31,6,9.551863443229035,30,0,7.910733856282077,2.99,1,Baixo Risco,O0884AAA0A,1.0,74.66,2015.87,24,29,17,44
885,139,0.65,5.0,528.0,84.6,5.0,21,1,6.451282633635548,18,0,5.9757965935543895,1.67,1,Baixo Risco,O0885AAA0A,0.0,45.27,2010.53,8,38,0,33
892,42,1.69,5.0,71.0,57.14,5.0,20,0,8.80205603686948,21,0,5.721653505812783,0.68,1,Baixo Risco,O0892AAA0A,0.0,21.53,2010.0,1,43,4,20
893,50,0.44,4.0,22.0,96.0,5.0,6,0,2.4784787961282104,7,0,2.0624313778658907,0.09,1,Baixo Risco,O0893AAA0A,0.083,29.1,2011.08,0,2,9,3
894,24,1.04,2.0,25.0,87.5,5.0,11,0,4.117326918327103,11,0,2.896462109820047,0.13,1,Baixo Risco,O0894AAA0A,0.0,17.41,2011.52,9,0,0,2
895,68,0.63,5.0,150.0,86.55,5.0,18,0,6.768273325562717,9,0,3.077501339196073,0.47,1,Baixo Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,0,9,20,15
897,39,1.22,7.0,205.0,72.62,5.0,17,0,7.20449595077698,16,0,3.861506426779318,0.66,1,Baixo Risco,O0897AAA0A,1.0,20.87,2015.81,0,12,16,8
898,168,0.96,5.0,267.0,77.06,5.0,37,15,7.40977475398287,31,0,9.76675446367027,3.74,1,Baixo Risco,O0898AAA0A,0.21100000000000002,75.03,2011.57,39,50,29,42
90,48,9.55,39.0,1299.0,15.44,5.0,91,39,20.443883705215622,55,0,13.587011594091287,8.39,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,58,77,192,82
900,98,3.89,79.0,2295.0,58.14,5.0,68,36,12.307566391297286,43,2,11.408663755920417,8.0,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,24,55,109,72
901,165,3.13,39.0,2320.0,61.54,5.0,97,60,14.628738838327793,59,0,15.580029487795576,10.17,0,Médio Risco,O0901AAA0A,0.25,59.97,2012.7,78,118,246,127
905,106,6.69,33.0,2375.0,19.72,5.0,150,58,28.958920000909004,64,0,14.344556610360115,10.18,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,98,154,199,168
906,139,6.98,33.0,4616.0,18.15,5.0,168,83,28.872461751971336,97,14,20.069399520201127,17.07,0,Médio Risco,O0906AAA0A,0.9490000000000001,73.13,2013.9,103,171,355,183
908,188,4.29,15.0,1274.0,6.4,5.0,191,92,38.913212347968596,117,3,28.140917395921154,9.57,0,Médio Risco,0,0.45480258899676373,59.403333333333336,2012.905210355987,96,235,244,203
910,144,3.42,37.0,1827.0,49.25,5.0,123,53,22.23896194905303,53,2,13.173315144034854,7.86,0,Médio Risco,O0910AAA0A,0.133,75.12,2012.87,91,136,249,136
913,38,6.66,24.0,599.0,55.56,5.0,50,12,13.100345324419797,30,0,7.3306978136315655,2.4,0,Médio Risco,O0913AAA0A,0.021,29.61,2010.38,32,71,60,33
915,39,7.64,37.0,894.0,41.03,5.0,56,14,16.3692510809866,35,0,9.136247287193665,3.29,0,Médio Risco,O0915AAA0A,0.061,29.36,2010.93,44,57,136,39
917,198,4.98,77.0,4026.0,35.27,5.0,232,96,48.52392635155804,121,8,27.919884088875296,15.47,2,Alto Risco,O0917AAA0A,1.0,88.75,2017.0,89,355,268,304
